ParkID,Activities
Kinney_Point,"CAMPING,BEACH,BIRD,BOATING_NM,FISHING,SWIMMING,HIKING,BIKING"
Kitsap_Memorial,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING"
Kopachuck,"CAMPING,BEACH,BIRD,BALL,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING"
Lake_Chelan,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING"
Lake_Easton,"CAMPING,BEACH,BIRD,BALL,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,CCSKIING"
Lake_Sammamish,"CAMPING,BIRD,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,HIKING,BIKING,CCSKIING,SNOWMOBILE,VTOUR"
Lake_Sylvia,"BEACH,BIRD,BALL,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,BIKING"
Lake_Wenatchee,"CAMPING,BIRD,BOATING_NM,FISHING,SWIMMING,WSKIING,HIKING,VTOUR"
Larrabee,"CAMPING,BEACH,BIRD,BOATING,FISHING,SWIMMING,WSKIING,PLAYGROUND,HIKING,BIKING,HORSE,CCSKIING"
Leadbetter_Point,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,BIKING,HORSE"
Lewis_Clark,"BEACH,BIRD,BOATING_NM,FISHING,HIKING"
Lewis_Clark_Trail,"CAMPING,BIRD,BALL,PLAYGROUND,HIKING,BIKING,HORSE"
Lime_Kiln_Point,"CAMPING,BEACH,BIRD,BALL,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,HIKING"
Lincoln_Rock,"BIRD,INTERP,SCUBA,HIKING"
Manchester,"CAMPING,BEACH,BIRD,BALL,BOATING_NM,SCUBA,SWIMMING,PLAYGROUND,HIKING"
Maryhill,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,HIKING"
Matia_Island,"CAMPING,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
McMicken_Island,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Millersylvania,"BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Moran,"CAMPING,BIRD,BOATING,FISHING,SCUBA,SWIMMING,HIKING"
Mount_Pilchuck,"CAMPING,BIRD,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,HIKING,BIKING"
Mount_Spokane,"BIRD,HIKING"
Mystery_Bay,"CAMPING,BIRD,HIKING,BIKING,HORSE,CCSKIING,SNOWMOBILE,VTOUR"
Nine_Mile,"BEACH,BIRD,BOATING,FISHING,SWIMMING,VTOUR"
Nolte,"CAMPING,BIRD,BOATING,FISHING,SWIMMING,WSKIING,HIKING,BIKING,HORSE"
Ocean_City,"BIRD,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,HIKING,VTOUR"
Olallie,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,PLAYGROUND,HIKING,VTOUR"
Olmstead_Place,"BEACH,BOATING_NM,HIKING,VTOUR"
Osoyoos_Lake,"BIRD,FISHING,INTERP,HIKING,VTOUR"
Pacific_Beach,CAMPING
Pacific_Pines,"CAMPING,BEACH,BIRD,FISHING,HIKING,VTOUR"
Palouse_Falls,"BEACH,BIRD,FISHING"
Paradise_Point,"CAMPING,BIRD,FISHING,HIKING,VTOUR"
Patos_Island,"CAMPING,BIRD,BOATING_NM,FISHING,SWIMMING,HIKING"
Peace_Arch,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING"
Pearrygin_Lake,"PLAYGROUND,HIKING"
Penrose_Point,"CAMPING,BIRD,BOATING,FISHING,SWIMMING,WSKIING,HIKING,CCSKIING,SNOWMOBILE"
Peshastin_Pinnacles,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING,HIKING,BIKING"
Pleasant_Harbor,"BIRD,HIKING"
Posey_Island,"BIRD,BOATING,SCUBA,SWIMMING,WSKIING"
Potlatch,"CAMPING,BEACH,BIRD,BOATING,FISHING,SCUBA,SWIMMING,WSKIING"
Rainbowf_Falls,"CAMPING,BIRD,BOATING,FISHING,SCUBA,SWIMMING,HIKING,VTOUR"
Rainbow_Falls,CAMPING
Rasar,"BIRD,BOATING_NM,FISHING,SWIMMING,PLAYGROUND,HIKING,BIKING,HORSE"
Reed_Island,"CAMPING,BEACH,BIRD,BALL,FISHING,INTERP,PLAYGROUND,HIKING,BIKING"
