Lake_Easton, "<Point><coordinates>-121.197151,47.249248,0.0</coordinates></Point>"
Lake_Sammamish, "<Point><coordinates>-122.061324,47.556227,0.0</coordinates></Point>"
Lake_Sylvia, "<Point><coordinates>-123.590533,47.000211,0.0</coordinates></Point>"
Lake_Wenatchee, "<Point><coordinates>-120.720004,47.808299,0.0</coordinates></Point>"
Larrabee, "<Point><coordinates>-122.490618,48.651234,0.0</coordinates></Point>"
Leadbetter_Point, "<Point><coordinates>-124.051211,46.596392,0.0</coordinates></Point>"
Lewis_Clark, "<Point><coordinates>-122.819143,46.519655,0.0</coordinates></Point>"
Lewis_Clark_Trail, "<Point><coordinates>-118.07228,46.288328,0.0</coordinates></Point>"
Lime_Kiln_Point, "<Point><coordinates>-123.150155,48.51622,0.0</coordinates></Point>"
Lincoln_Rock, "<Point><coordinates>-120.284621,47.538287,0.0</coordinates></Point>"
Manchester, "<Point><coordinates>-122.550349,47.575652,0.0</coordinates></Point>"
Maryhill, "<Point><coordinates>-120.836876,45.681317,0.0</coordinates></Point>"
Matia_Island, "<Point><coordinates>-122.837028,48.746443,0.0</coordinates></Point>"
McMicken_Island, "<Point><coordinates>-122.932492,47.186197,0.0</coordinates></Point>"
Millersylvania, "<Point><coordinates>-122.912661,46.914865,0.0</coordinates></Point>"
Moran, "<Point><coordinates>-122.826433,48.664217,0.0</coordinates></Point>"
Mount_Pilchuck, "<Point><coordinates>-121.772955,48.060314,0.0</coordinates></Point>"
Mount_Spokane, "<Point><coordinates>-117.110888,47.917797,0.0</coordinates></Point>"
Mystery_Bay, "<Point><coordinates>-122.697254,48.059932,0.0</coordinates></Point>"
Nine_Mile, "<Point><coordinates>-117.527543,47.776257,0.0</coordinates></Point>"
Nolte, "<Point><coordinates>-121.940578,47.266878,0.0</coordinates></Point>"
Ocean_City, "<Point><coordinates>-124.164208,47.033178,0.0</coordinates></Point>"
Olallie, "<Point><coordinates>-121.657362,47.435838,0.0</coordinates></Point>"
Olmstead_Place, "<Point><coordinates>-120.467342,46.978979,0.0</coordinates></Point>"
Osoyoos_Lake, "<Point><coordinates>-119.432553,48.949454,0.0</coordinates></Point>"
Pacific_Beach, "<Point><coordinates>-124.204923,47.205562,0.0</coordinates></Point>"
Pacific_Pines, "<Point><coordinates>-124.055395,46.501906,0.0</coordinates></Point>"
Palouse_Falls, "<Point><coordinates>-118.228677,46.663713,0.0</coordinates></Point>"
Paradise_Point, "<Point><coordinates>-122.703123,45.860739,0.0</coordinates></Point>"
Patos_Island, "<Point><coordinates>-122.968501,48.784525,0.0</coordinates></Point>"
Peace_Arch, "<Point><coordinates>-122.756427,49.00239,0.0</coordinates></Point>"
Pearrygin_Lake, "<Point><coordinates>-120.146574,48.48744,0.0</coordinates></Point>"
Penrose_Point, "<Point><coordinates>-122.748379,47.254807,0.0</coordinates></Point>"
Peshastin_Pinnacles, "<Point><coordinates>-120.520518,47.538742,0.0</coordinates></Point>"
Pleasant_Harbor, "<Point><coordinates>-122.92147,47.660244,0.0</coordinates></Point>"
Posey_Island, "<Point><coordinates>-123.167737,48.618344,0.0</coordinates></Point>"
Potlatch, "<Point><coordinates>-123.159316,47.361263,0.0</coordinates></Point>"
Rainbow_Falls, "<Point><coordinates>-123.232749,46.629898,0.0</coordinates></Point>"
Rasar, "<Point><coordinates>-121.905881,48.516737,0.0</coordinates></Point>"
Reed_Island, "<Point><coordinates>-122.305387,45.553262,0.0</coordinates></Point>"
Riverside, "<Point><coordinates>-117.495114,47.695716,0.0</coordinates></Point>"
Rockport, "<Point><coordinates>-121.616881,48.490965,0.0</coordinates></Point>"
Sacajawea, "<Point><coordinates>-119.042741,46.205345,0.0</coordinates></Point>"
Saint_Edward, "<Point><coordinates>-122.257018,47.733219,0.0</coordinates></Point>"
Saltwater, "<Point><coordinates>-122.318972,47.374135,0.0</coordinates></Point>"
Scenic_Beach, "<Point><coordinates>-122.844445,47.646505,0.0</coordinates></Point>"
Schafer, "<Point><coordinates>-123.465521,47.098132,0.0</coordinates></Point>"
Seaquest, "<Point><coordinates>-122.817597,46.296269,0.0</coordinates></Point>"
Sequim_Bay, "<Point><coordinates>-123.029194,48.037578,0.0</coordinates></Point>"
Shine_Tidelands, "<Point><coordinates>-122.634469,47.869459,0.0</coordinates></Point>"
Skagit_Island, "<Point><coordinates>-122.579057,48.413714,0.0</coordinates></Point>"
South_Whidbey, "<Point><coordinates>-122.589426,48.05819,0.0</coordinates></Point>"
Spencer_Spit, "<Point><coordinates>-122.862117,48.537513,0.0</coordinates></Point>"
Spring_Creek_Hatchery, "<Point><coordinates>-121.557618,45.72396,0.0</coordinates></Point>"
Squak_Mountain, "<Point><coordinates>-122.051999,47.503758,0.0</coordinates></Point>"
Squilchuck, "<Point><coordinates>-120.372861,47.309838,0.0</coordinates></Point>"
Steamboat_Rock, "<Point><coordinates>-119.130928,47.868563,0.0</coordinates></Point>"
Steptoe_Battlefield, "<Point><coordinates>-117.3651,47.228552,0.0</coordinates></Point>"
Stuart_Island, "<Point><coordinates>-123.201601,48.676483,0.0</coordinates></Point>"
Sucia_Island, "<Point><coordinates>-122.904675,48.760106,0.0</coordinates></Point>"
Sun_Lakes, "<Point><coordinates>-119.38404,47.590725,0.0</coordinates></Point>"
Tolmie, "<Point><coordinates>-122.776597,47.119059,0.0</coordinates></Point>"
Triton_Cove, "<Point><coordinates>-122.985386,47.608655,0.0</coordinates></Point>"
Turn_Island, "<Point><coordinates>-122.971642,48.533068,0.0</coordinates></Point>"
Twanoh, "<Point><coordinates>-122.974999,47.373155,0.0</coordinates></Point>"
Twenty-Five_Mile_Creek, "<Point><coordinates>-120.260552,47.986331,0.0</coordinates></Point>"
Twin_Harbors, "<Point><coordinates>-124.099037,46.845731,0.0</coordinates></Point>"
Upright_Channel, "<Point><coordinates>-122.914078,48.549037,0.0</coordinates></Point>"
Wallace_Falls, "<Point><coordinates>-121.679175,47.867487,0.0</coordinates></Point>"
Wanapum, "<Point><coordinates>-119.990064,46.902487,0.0</coordinates></Point>"
Wenatchee_Confluence, "<Point><coordinates>-120.327709,47.456931,0.0</coordinates></Point>"
Wenberg, "<Point><coordinates>-122.285413,48.136346,0.0</coordinates></Point>"
Westport_Light, "<Point><coordinates>-124.122062,46.891811,0.0</coordinates></Point>"
Yakima_Sportsman, "<Point><coordinates>-120.457038,46.591579,0.0</coordinates></Point>"
Steptoe_Butte, "<Point><coordinates>-117.296884,47.032410,0.0</coordinates></Point>"
Westhaven, "<Point><coordinates>-124.122236,46.901809,0.0</coordinates></Point>"
Potholes, "<Point><coordinates>-119.351192, 46.977371,0.0</coordinates></Point>"
All_Tours, ""
