ParkID,ACTIVITY
Deception_Pass,SWIMMING
Deception_Pass,WSKIING
Deception_Pass,PLAYGROUND
Deception_Pass,HIKING
Deception_Pass,BIKING
Deception_Pass,HORSE
Deception_Pass,VTOUR
Dosewallips,CAMPING
Dosewallips,BEACH
Dosewallips,BIRD
Dosewallips,FISHING
Dosewallips,HIKING
Dougs_Beach,BIRD
Dougs_Beach,FISHING
Dougs_Beach,SWIMMING
Eagle_Island,BEACH
Eagle_Island,BIRD
Eagle_Island,FISHING
Federation_Forest,BIRD
Federation_Forest,INTERP
Federation_Forest,HIKING
Fields_Spring,CAMPING
Fields_Spring,BIRD
Fields_Spring,HIKING
Fields_Spring,BIKING
Fields_Spring,CCSKIING
Flaming_Geyser,BIRD
Flaming_Geyser,BOATING_NM
Flaming_Geyser,FISHING
Flaming_Geyser,PLAYGROUND
Flaming_Geyser,HIKING
Flaming_Geyser,BIKING
Flaming_Geyser,HORSE
Flaming_Geyser,VTOUR
Fort_Casey,CAMPING
Fort_Casey,BEACH
Fort_Casey,BIRD
Fort_Casey,BALL
Fort_Casey,BOATING
Fort_Casey,FISHING
Fort_Casey,INTERP
Fort_Casey,SCUBA
Fort_Casey,HIKING
Fort_Casey,BIKING
Fort_Casey,VTOUR
Fort_Columbia,BEACH
Fort_Columbia,FISHING
Fort_Columbia,HIKING
Fort_Columbia,VTOUR
Fort_Ebey,CAMPING
Fort_Ebey,BEACH
Fort_Ebey,BIRD
Fort_Ebey,FISHING
Fort_Ebey,HIKING
Fort_Ebey,BIKING
Fort_Flagler,CAMPING
Fort_FLagler,BEACH
Fort_Flagler,BIRD
Fort_Flagler,BALL
Fort_Flagler,BOATING
Fort_Flagler,FISHING
Fort_Flagler,INTERP
Fort_Flagler,SCUBA
Fort_Flagler,SWIMMING
Fort_Flagler,WSKIING
Fort_FLagler,PLAYGROUND
Fort_Flagler,HIKING
Fort_Flagler,VTOUR
Fort_Okanogan,BIRD
Fort_Okanogan,INTERP
Fort_Okanogan,HIKING
Fort_Simcoe,BIRD
Fort_Simcoe,INTERP
Fort_Simcoe,PLAYGROUND
Fort_Simcoe,HIKING
Fort_Simcoe,VTOUR
Fort_Townsend,CAMPING
Fort_Townsend,BEACH
Fort_Townsend,BIRD
Fort_Townsend,BALL
Fort_Townsend,BOATING
Fort_Townsend,FISHING
Fort_Townsend,SCUBA
Fort_Townsend,HIKING
Fort_Townsend,BIKING
Fort_Townsend,VTOUR
Fort_Worden,CAMPING
Fort_Worden,BEACH
Fort_Worden,BIRD
Fort_Worden,BALL
Fort_Worden,BOATING
Fort_Worden,FISHING
Fort_Worden,INTERP
Fort_Worden,SCUBA
Fort_Worden,SWIMMING
Fort_Worden,WSKIING
Fort_Worden,HIKING
Fort_Worden,BIKING
Fort_Worden,VTOUR
Ginkgo_Petrified_Forest,BIRD
Ginkgo_Petrified_Forest,INTERP
Ginkgo_Petrified_Forest,HIKING
Ginkgo_Petrified_Forest,VTOUR
Goldendale_Observatory,INTERP
Grayland_Beach,CAMPING
Grayland_Beach,BEACH
Grayland_Beach,BIRD
Grayland_Beach,FISHING
Grayland_Beach,PLAYGROUND
Grayland_Beach,HORSE
Griffin_Bay,CAMPING
Griffin_Bay,BEACH
Griffin_Bay,BIRD
Griffin_Bay,BOATING
Griffin_Bay,FISHING
Griffin_Bay,SWIMMING
Griffiths_Priday,BEACH
Griffiths_Priday,BIRD
Griffiths_Priday,FISHING
Griffiths_Priday,HIKING
Griffiths_Priday,VTOUR
Hope_Island_Mason,CAMPING
Hope_Island_Mason,BEACH
Hope_Island_Mason,BIRD
Hope_Island_Mason,BALL
Hope_Island_Mason,BOATING
Hope_Island_Mason,FISHING
Hope_Island_Mason,SWIMMING
Hope_Island_Mason,HIKING
Hope_Island_Mason,VTOUR
Hope_Island_Skagit,CAMPING
Hope_Island_Skagit,BEACH
Hope_Island_Skagit,BIRD
Hope_Island_Skagit,BALL
Hope_Island_Skagit,BOATING
Hope_Island_Skagit,FISHING
Hope_Island_Skagit,SWIMMING
Hope_Island_Skagit,HIKING
Hope_Island_Skagit,VTOUR
Ike_Kinswa,CAMPING
Ike_Kinswa,BIRD
Ike_Kinswa,BOATING
Ike_Kinswa,FISHING
Ike_Kinswa,SWIMMING
Ike_Kinswa,WSKIING
Ike_Kinswa,PLAYGROUND
Ike_Kinswa,HIKING
Ike_Kinswa,BIKING
Ike_Kinswa,VTOUR
Illahee,CAMPING
Illahee,BEACH
Illahee,BIRD
Illahee,BALL
Illahee,BOATING
Illahee,FISHING
Illahee,SCUBA
Illahee,SWIMMING
Illahee,WSKIING
Illahee,PLAYGROUND
Illahee,HIKING
Iron_Horse,BIRD
Iron_Horse,HIKING
Iron_Horse,BIKING
Iron_Horse,HORSE
Iron_Horse,CCSKIING
Iron_Horse,VTOUR
James_Island,CAMPING
James_Island,BEACH
James_Island,BIRD
James_Island,BOATING
James_Island,FISHING
James_Island,SCUBA
James_Island,SWIMMING
James_Island,WSKIING
James_Island,HIKING
Jarrell_Cove,CAMPING
Jarrell_Cove,BEACH
Jarrell_Cove,BIRD
Jarrell_Cove,BOATING
Jarrell_Cove,FISHING
Jarrell_Cove,SCUBA
Jarrell_Cove,SWIMMING
Jarrell_Cove,WSKIING
Jarrell_Cove,HIKING
Joemma_Beach,CAMPING
Joemma_Beach,BEACH
Joemma_Beach,BIRD
Joemma_Beach,BOATING
Joemma_Beach,FISHING
Joemma_Beach,SCUBA
Joemma_Beach,SWIMMING
Joemma_Beach,WSKIING
Joemma_Beach,HIKING
Jones_Island,CAMPING
Jones_Island,BEACH
Jones_Island,BIRD
Jones_Island,BOATING
Jones_Island,FISHING
Jones_Island,SCUBA
Jones_Island,SWIMMING
Jones_Island,HIKING
Joseph_Whidbey,BEACH
Joseph_Whidbey,BIRD
Joseph_Whidbey,FISHING
Joseph_Whidbey,HIKING
Joseph_Whidbey,BIKING
Joseph_Whidbey,VTOUR
Kanaskat_Palmer,CAMPING
Kanaskat_Palmer,BEACH
Kanaskat_Palmer,BIRD
Kanaskat_Palmer,BOATING_NM
Kanaskat_Palmer,FISHING
Kanaskat_Palmer,SWIMMING
Kanaskat_Palmer,HIKING
Kanaskat_Palmer,BIKING
Kinney_Point,CAMPING
Kinney_Point,BEACH
Kinney_Point,BIRD
Kinney_Point,BOATING
Kinney_Point,FISHING
Kinney_Point,SCUBA
Kinney_Point,SWIMMING
Kitsap_Memorial,CAMPING
Kitsap_Memorial,BEACH
Kitsap_Memorial,BIRD
Kitsap_Memorial,BALL
Kitsap_Memorial,BOATING
Kitsap_Memorial,FISHING
Kitsap_Memorial,SCUBA
Kitsap_Memorial,SWIMMING
Kitsap_Memorial,WSKIING
Kitsap_Memorial,PLAYGROUND
Kitsap_Memorial,HIKING
Kopachuck,CAMPING
Kopachuck,BEACH
Kopachuck,BIRD
Kopachuck,BOATING
Kopachuck,FISHING
Kopachuck,SCUBA
Kopachuck,SWIMMING
Kopachuck,WSKIING
Kopachuck,PLAYGROUND
Kopachuck,HIKING
Lake_Chelan,CAMPING
Lake_Chelan,BEACH
Lake_Chelan,BIRD
Lake_Chelan,BALL
Lake_Chelan,BOATING
Lake_Chelan,FISHING
Lake_Chelan,SCUBA
Lake_Chelan,SWIMMING
Lake_Chelan,WSKIING
Lake_Chelan,PLAYGROUND
Lake_Chelan,HIKING
Lake_Chelan,CCSKIING
Lake_Easton,CAMPING
Lake_Easton,BIRD
Lake_Easton,BOATING_NM
Lake_Easton,FISHING
Lake_Easton,SWIMMING
Lake_Easton,PLAYGROUND
Lake_Easton,HIKING
Lake_Easton,BIKING
Lake_Easton,CCSKIING
Lake_Easton,SNOWMOBILE
Lake_Easton,VTOUR
Lake_Sammamish,BEACH
Lake_Sammamish,BIRD
Lake_Sammamish,BALL
Lake_Sammamish,BOATING
Lake_Sammamish,FISHING
Lake_Sammamish,SCUBA
Lake_Sammamish,SWIMMING
Lake_Sammamish,WSKIING
Lake_Sammamish,PLAYGROUND
Lake_Sammamish,HIKING
Lake_Sammamish,BIKING
Lake_Sylvia,CAMPING
Lake_Sylvia,BIRD
Lake_Sylvia,BOATING_NM
Lake_Sylvia,FISHING
Lake_Sylvia,SWIMMING
Lake_Sylvia,WSKIING
Lake_Sylvia,HIKING
Lake_Sylvia,VTOUR
Lake_Wenatchee,CAMPING
Lake_Wenatchee,BEACH
Lake_Wenatchee,BIRD
Lake_Wenatchee,BOATING
Lake_Wenatchee,FISHING
Lake_Wenatchee,SWIMMING
Lake_Wenatchee,WSKIING
Lake_Wenatchee,PLAYGROUND
Lake_Wenatchee,HIKING
Lake_Wenatchee,BIKING
Lake_Wenatchee,HORSE
Lake_Wenatchee,CCSKIING
Larrabee,CAMPING
Larrabee,BEACH
Larrabee,BIRD
Larrabee,BOATING
Larrabee,FISHING
Larrabee,SCUBA
Larrabee,SWIMMING
Larrabee,WSKIING
Larrabee,PLAYGROUND
Larrabee,HIKING
Larrabee,BIKING
Larrabee,HORSE
Leadbetter_Point,BEACH
Leadbetter_Point,BIRD
Leadbetter_Point,BOATING_NM
Leadbetter_Point,FISHING
Leadbetter_Point,HIKING
Lewis_Clark,CAMPING
Lewis_Clark,BIRD
Lewis_Clark,BALL
Lewis_Clark,PLAYGROUND
Lewis_Clark,HIKING
Lewis_Clark,BIKING
Lewis_Clark,HORSE
Lewis_Clark_Trail,CAMPING
Lewis_Clark_Trail,BEACH
Lewis_Clark_Trail,BIRD
Lewis_Clark_Trail,BALL
Lewis_Clark_Trail,BOATING_NM
Lewis_Clark_Trail,FISHING
Lewis_Clark_Trail,SWIMMING
Lewis_Clark_Trail,PLAYGROUND
Lewis_Clark_Trail,HIKING
Lime_Kiln_Point,BIRD
Lime_Kiln_Point,INTERP
Lime_Kiln_Point,SCUBA
Lime_Kiln_Point,HIKING
Lincoln_Rock,CAMPING
Lincoln_Rock,BEACH
Lincoln_Rock,BIRD
Lincoln_Rock,BALL
Lincoln_Rock,BOATING_NM
Lincoln_Rock,SCUBA
Lincoln_Rock,SWIMMING
Lincoln_Rock,PLAYGROUND
Lincoln_Rock,HIKING
Manchester,CAMPING
Manchester,BEACH
Manchester,BIRD
Manchester,BOATING
Manchester,FISHING
Manchester,SCUBA
Manchester,SWIMMING
Manchester,HIKING
Maryhill,CAMPING
Maryhill,BIRD
Maryhill,BOATING
Maryhill,FISHING
Maryhill,SCUBA
Maryhill,SWIMMING
